username,follower_to_following_ratio,stars_per_repository,fork_to_repo_ratio,open_issues_per_repo,code_to_profile_age_ratio,push_to_total_events_ratio,repos_per_year,days_since_last_api_activity,days_since_last_code_push,average_days_between_events,profile_staleness_days,total_community_validation_count,total_starred_by_user,total_organization_connections,aggregate_codebase_footprint_kb,distinct_event_types_count,has_no_repos,is_b2b_affiliated,has_invested_profile,is_actively_hireable,has_external_gists,churned
codahale,116.47368421052632,28.02962962962963,0.014814814814814815,0.6,0.020161290322580645,0.9777777777777777,7.363911290322581,0.0,0.0,148.8,125.0,3784.0,13.0,0.0,82899.0,2.0,0,0,0,0,1,0
zackchandler,28.0,5.65,0.3,0.0,0.002986857825567503,0.0,1.0909498207885304,9999.0,98.0,6696.0,63.0,113.0,19.0,0.0,13163.0,0.0,0,0,0,0,1,0
jakehow,4.583333333333333,2.5789473684210527,0.8070175438596491,0.05263157894736842,0.008512544802867384,0.038461538461538464,3.109206989247312,23.0,1195.0,257.53846153846155,37.0,147.0,138.0,2.0,576452.0,2.0,0,1,0,0,1,1
evan,32.142857142857146,23.666666666666668,0.45098039215686275,1.1764705882352942,0.0076164874551971325,0.0,2.7819220430107525,9999.0,80.0,6696.0,17.0,1207.0,116.0,0.0,581609.0,0.0,0,0,0,0,1,0
olleolleolle,1.161473087818697,0.042473454091193005,0.6164896939412867,0.004996876951905059,0.23909796893667862,0.28859060402684567,87.33053315412187,1.0,2.0,44.939597315436245,69.0,68.0,200.0,8.0,8307303.0,11.0,0,1,0,0,1,0
chrismcg,5.714285714285714,3.272727272727273,0.13636363636363635,0.36363636363636365,0.0032855436081242534,0.0,1.2000448028673836,9999.0,101.0,6696.0,23.0,72.0,200.0,1.0,162452.0,0.0,0,1,0,0,1,0
chuyeow,2.732142857142857,2.617283950617284,0.691358024691358,0.18518518518518517,0.012096774193548387,0.8461538461538461,4.418346774193548,0.0,0.0,257.53846153846155,0.0,212.0,200.0,0.0,670859.0,4.0,0,0,0,1,1,0
mloughran,11.5,39.19047619047619,0.5238095238095238,1.3333333333333333,0.0031362007168458782,0.0,1.145497311827957,9999.0,282.0,6696.0,2.0,823.0,48.0,1.0,615678.0,0.0,0,1,0,0,1,1
matthewford,1.5,0.7142857142857143,0.8809523809523809,0.0,0.012544802867383513,0.46153846153846156,4.581989247311828,12.0,25.0,515.0769230769231,3.0,60.0,200.0,1.0,1901372.0,7.0,0,1,1,1,1,0
henrik,19.217391304347824,8.295774647887324,0.7394366197183099,0.35563380281690143,0.04241338112305854,0.30303030303030304,15.491487455197133,3.0,74.0,202.9090909090909,5.0,2356.0,200.0,3.0,12449865.0,3.0,0,1,1,0,1,0
tkersey,1.4690117252931323,3.6379310344827585,0.5862068965517241,0.034482758620689655,0.008661887694145758,0.12666666666666668,3.1637544802867383,0.0,0.0,22.32,27.0,211.0,200.0,1.0,762305.0,2.0,0,1,1,0,1,0
acf,21.333333333333332,0.0,0.6,0.0,0.0007467144563918758,0.0,0.2727374551971326,9999.0,560.0,6696.0,2.0,0.0,3.0,0.0,102016.0,0.0,0,0,0,0,1,1
dan,30.375,2.1,0.1,0.0,0.0014934289127837516,0.0,0.5454749103942652,9999.0,44.0,6696.0,59.0,21.0,107.0,1.0,18341.0,0.0,0,1,0,1,1,0
seebq,5.388888888888889,1.1428571428571428,0.6071428571428571,0.14285714285714285,0.004181600955794504,0.0,1.5273297491039426,9999.0,162.0,6696.0,2.0,32.0,30.0,3.0,364428.0,0.0,0,1,1,0,1,0
delynn,3.6923076923076925,4.055555555555555,0.7592592592592593,0.3888888888888889,0.008064516129032258,0.16666666666666666,2.9455645161290325,13.0,13.0,558.0,62.0,219.0,18.0,0.0,543090.0,6.0,0,0,0,0,1,0
spicycode,9.709677419354838,15.9,0.45,0.275,0.005973715651135006,0.6470588235294118,2.181899641577061,1.0,1.0,393.88235294117646,16.0,636.0,200.0,0.0,206493.0,5.0,0,0,0,0,1,0
ntalbott,3.0434782608695654,11.318181818181818,0.4090909090909091,0.36363636363636365,0.0032855436081242534,0.0,1.2000448028673836,9999.0,3811.0,6696.0,214.0,249.0,26.0,0.0,28300.0,0.0,0,0,0,0,1,1
rdempsey,4.681818181818182,2.5,0.24,0.04,0.007467144563918757,0.0,2.727374551971326,9999.0,1093.0,6696.0,46.0,125.0,200.0,0.0,275455.0,0.0,0,0,0,1,1,1
mjankowski,210.0,0.2553191489361702,1.0,0.0425531914893617,0.007019115890083632,0.38333333333333336,2.5637320788530467,0.0,0.0,22.32,11.0,12.0,3.0,0.0,1141370.0,7.0,0,0,1,1,1,0
danahern,21.0,0.4,0.5,0.13333333333333333,0.004480286738351254,0.2857142857142857,1.6364247311827957,27.0,27.0,956.5714285714286,16.0,12.0,47.0,0.0,5790854.0,5.0,0,0,1,0,1,0
dctanner,9.5,0.15789473684210525,0.6842105263157895,0.0,0.002837514934289128,0.5,1.0364023297491038,4.0,4.0,1674.0,12.0,3.0,200.0,0.0,276079.0,2.0,0,0,1,0,1,0
alexvollmer,11.125,11.818181818181818,0.48484848484848486,0.09090909090909091,0.00492831541218638,0.0,1.8000672043010753,9999.0,745.0,6696.0,16.0,390.0,41.0,0.0,217213.0,0.0,0,0,0,0,1,1
